#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO
274,John Schreiber,KCR,3,3,3.86,56,0,1,17,2,56.2,243,53,26,24,5,22,1,3,53
275,Spencer Turnbull,,3,2,4.20,10,8,0,0,0,46.0,197,43,23,22,6,17,0,3,42
276,Yennier Cano,BAL,3,3,3.39,59,0,3,21,3,60.1,254,55,25,23,5,21,1,2,60
277,Matthew Liberatore,STL,3,4,4.19,48,4,1,10,1,70.1,301,68,36,33,8,25,1,3,64
278,Kenta Maeda,DET,3,4,4.48,38,4,0,3,0,65.0,273,63,35,32,10,18,0,3,62
279,Liam Hendriks,BOS,4,3,3.82,50,0,17,9,4,52.2,218,47,24,22,7,16,1,2,60
280,Jared Koenig,MIL,5,4,3.66,55,1,2,11,2,63.0,268,59,28,26,6,23,2,3,61
281,Caleb Ferguson,PIT,2,3,3.76,54,0,1,12,2,53.0,229,50,24,22,5,22,1,3,57
282,Hoby Milner,TEX,3,2,3.83,54,0,0,10,1,55.1,230,53,26,24,6,13,1,3,51
283,Michel Otañez,ATH,4,2,3.88,54,0,1,13,3,55.2,244,46,26,24,5,32,1,4,72
284,Colin Holderman,PIT,3,4,3.84,57,0,2,18,4,58.0,250,53,27,25,6,25,1,4,59
285,Mark Leiter Jr.,NYY,3,4,3.92,53,0,1,14,2,56.0,235,48,27,24,7,21,1,4,67
286,Albert Suárez,BAL,5,4,4.26,43,7,0,4,0,78.2,335,78,40,37,11,26,1,3,69
287,Yuki Matsui,SDP,3,2,3.60,53,0,2,9,3,54.2,229,45,24,22,6,23,2,2,63
288,Bryce Elder,ATL,3,3,4.35,16,8,0,1,0,53.0,229,53,28,26,6,19,0,2,44
289,Carlos Estévez,KCR,4,4,3.85,59,0,20,4,5,62.0,260,56,29,26,7,21,2,3,61
290,Pierce Johnson,ATL,4,4,3.73,60,0,3,15,3,61.0,260,54,28,25,7,26,1,2,74
291,Taylor Rogers,CIN,3,4,4.08,58,0,5,13,2,58.1,248,53,29,26,8,22,1,3,63
292,Joel Payamps,MIL,4,4,3.62,60,0,7,17,2,61.1,254,55,27,25,8,18,2,3,60
293,Kirby Yates,LAD,5,2,3.29,56,0,12,12,3,57.2,240,42,23,21,6,27,2,3,72
294,Sean Hjelle,SFG,3,3,4.01,51,0,0,8,0,62.2,268,65,30,28,6,17,2,4,54
295,Anthony DeSclafani,,2,4,4.71,9,9,0,0,0,50.2,217,55,29,27,8,13,1,2,40
296,Tony Santillan,CIN,4,4,4.17,55,0,4,12,3,58.1,250,52,29,27,8,25,3,3,68
297,Dane Dunning,TEX,4,4,4.29,46,5,0,4,0,77.0,331,75,40,37,10,27,1,4,70
298,José Leclerc,ATH,3,4,3.89,62,0,4,14,4,64.2,275,53,30,28,7,30,1,4,76
299,Ryan Brasier,CHC,2,2,3.73,50,1,1,11,2,52.1,216,47,24,22,6,15,1,2,50
300,Declan Cronin,MIA,3,3,4.18,58,0,1,12,1,64.2,282,65,33,30,5,24,2,4,57
301,Danny Coulombe,MIN,3,2,3.43,46,0,1,12,2,45.2,188,40,19,17,5,13,1,2,48
302,Jason Foley,DET,3,3,3.58,59,0,17,9,3,59.1,250,58,26,24,5,17,1,2,48
303,Seth Halvorsen,COL,4,5,4.39,58,0,10,11,4,61.1,268,61,33,30,8,24,1,3,60
304,Robert Suarez,SDP,5,4,3.52,59,0,27,3,5,61.0,251,52,26,24,8,20,2,2,60
305,Caleb Thielbar,CHC,2,2,3.97,48,0,1,11,1,46.1,195,42,22,20,6,17,1,1,51
306,Landon Knack,LAD,3,3,4.13,32,4,0,1,0,52.2,220,48,26,24,8,17,1,2,53
307,Nick Mears,MIL,2,3,4.06,54,0,0,12,2,57.2,247,50,28,26,7,27,1,2,70
308,Brock Burke,LAA,4,3,4.10,56,0,1,10,2,61.1,261,58,30,28,8,21,2,2,62
309,Joe Ross,PHI,3,3,4.24,36,4,0,2,0,58.2,251,57,30,28,8,21,1,3,52
310,Brock Stewart,MIN,2,1,3.47,45,0,1,13,2,48.2,205,41,20,19,6,21,1,2,60
311,Joe Boyle,TBR,2,4,4.49,27,5,0,3,0,48.1,215,38,26,24,5,34,1,3,57
312,Joe Mantiply,ARI,4,3,3.83,57,0,1,13,1,55.0,231,53,25,23,5,16,2,2,48
313,Luke Weaver,NYY,4,3,3.92,59,0,4,17,1,68.2,285,60,33,30,10,21,1,3,75
314,Scott Alexander,COL,3,3,4.02,51,1,2,10,2,50.1,218,52,24,23,4,17,3,2,39
315,Will Warren,NYY,2,3,4.22,28,4,0,1,0,44.2,191,43,23,21,5,16,1,2,45
316,Ryan Fernandez,STL,3,4,3.86,59,0,2,15,2,62.2,267,58,29,27,6,25,2,2,63
317,Dennis Santana,PIT,3,3,4.22,60,0,5,12,3,63.2,274,59,32,30,6,25,1,4,61
318,Griffin Canning,NYM,5,5,4.58,31,12,0,1,0,88.1,378,86,49,45,14,31,1,4,77
319,Bryan King,HOU,2,1,3.58,48,0,0,8,2,48.1,207,43,21,19,5,20,1,3,51
320,Braxton Ashcraft,PIT,2,2,4.12,24,3,0,1,0,38.0,160,38,19,17,5,10,1,1,33
321,Ryan Thompson,ARI,4,4,3.75,58,0,1,16,5,60.0,253,59,27,25,5,17,1,3,48
322,Gregory Soto,BAL,3,4,3.74,55,0,2,12,2,54.0,232,47,24,22,5,25,1,4,60
323,JoJo Romero,STL,4,3,3.66,55,0,2,18,5,57.0,240,52,25,23,6,19,1,3,54
324,Jesus Tinoco,MIA,3,2,3.78,59,0,9,14,2,64.2,274,59,30,27,8,23,1,3,66
325,Ryan Burr,TOR,1,2,3.85,41,1,0,5,2,42.1,178,37,20,18,5,15,0,2,50
326,Sawyer Gipson-Long,DET,2,2,4.06,22,3,0,1,0,39.1,164,37,19,18,5,11,1,2,37
327,Paul Sewald,CLE,3,2,3.92,52,0,3,11,4,54.1,224,46,26,24,8,17,1,3,60
328,Graham Ashcraft,CIN,3,3,4.37,37,2,0,3,0,52.2,226,53,28,26,6,17,0,3,43
329,Max Lazar,PHI,2,2,4.21,35,0,0,3,1,39.0,164,38,20,18,5,11,1,1,34
330,Brenan Hanifee,DET,2,2,3.56,31,1,0,6,2,36.1,153,36,16,14,3,10,0,1,29
331,Slade Cecconi,CLE,2,3,4.55,30,3,0,1,0,47.1,199,47,26,24,7,11,0,2,43
332,Beau Brieske,DET,3,4,3.90,53,2,7,10,2,64.2,274,58,30,28,7,25,1,2,62
333,Sam Moll,CIN,3,3,3.95,54,0,0,13,1,52.2,227,47,25,23,6,23,3,3,54
334,Scott Barlow,CIN,3,3,3.99,55,0,1,12,2,58.0,247,52,28,26,7,24,1,3,62
