Rank,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO
381,Ryan Thompson,ARI,4,3,3.97,62,0,6,19,4,62.2,266,62,30,28,6,19,2,3,51
382,Brock Burke,CIN,3,2,4.22,59,0,0,12,2,60.0,255,58,31,28,8,20,2,2,55
383,Ryan Fernandez,STL,3,3,4.17,45,0,0,5,1,47.0,203,43,24,22,5,22,2,2,47
384,Jack Perkins,ATH,2,1,3.90,20,1,0,1,0,27.0,115,23,13,12,3,11,0,2,28
385,Cristian Mena,ARI,1,1,4.11,14,2,0,1,1,24.2,106,23,12,11,3,9,0,1,23
386,Coleman Crow,MIL,1,1,3.74,15,1,0,1,0,18.2,78,16,8,8,2,6,0,1,20
387,Ryan Johnson,LAA,1,2,4.26,19,1,0,2,1,24.1,103,24,12,11,3,8,1,0,22
388,Javier Assad,CHC,3,3,4.07,38,3,0,3,0,57.2,247,55,28,26,7,21,1,3,48
389,Gavin Stone,LAD,2,1,4.49,10,3,0,1,0,24.0,103,24,13,12,3,8,0,1,21
390,Keegan Akin,BAL,4,3,4.01,62,0,2,16,3,65.0,275,59,32,29,9,24,2,2,66
391,Ricky Tiedemann,TOR,1,1,4.23,12,3,0,1,0,22.2,98,20,12,11,3,11,0,2,24
392,Spencer Bivens,SFG,3,3,4.15,59,0,0,9,0,68.0,292,69,34,31,8,21,1,4,51
393,Greg Weissert,BOS,4,3,4.13,62,0,1,16,4,63.1,270,61,32,29,8,22,2,3,56
394,Gordon Graceffo,STL,3,3,4.34,51,0,0,7,1,61.2,263,62,32,30,7,20,1,2,50
395,Huascar Brazobán,NYM,3,2,4.04,49,0,1,10,2,53.0,228,48,26,24,6,23,1,3,50
396,Blade Tidwell,SFG,2,2,4.51,18,3,0,1,0,34.2,150,34,19,17,5,14,0,2,30
397,Grant Wolfram,BAL,2,3,4.32,36,0,0,4,0,39.1,172,38,21,19,4,17,1,2,37
398,Drew Thorpe,CHW,2,3,4.77,9,8,0,0,0,42.1,182,42,24,23,7,16,0,1,32
399,Calvin Faucher,MIA,3,4,4.06,62,0,6,14,3,63.2,274,60,31,29,7,27,1,3,63
400,Emerson Hancock,SEA,3,3,4.41,31,7,0,1,0,64.2,277,64,35,32,9,21,0,3,50
401,Kendry Rojas,MIN,2,2,4.20,25,1,0,1,0,31.2,137,31,16,15,3,13,1,1,29
402,Ryan Brasier,TEX,2,2,4.04,42,0,0,4,1,43.2,182,41,21,20,5,13,1,1,38
403,Jake Bird,NYY,3,2,4.05,50,0,0,8,5,53.2,231,48,26,24,6,22,2,4,54
404,DJ Herz,WSN,1,2,4.04,16,2,0,1,0,25.1,109,22,12,11,3,12,0,1,28
405,Isaac Mattson,PIT,3,4,4.21,58,0,2,14,3,63.0,272,57,32,30,8,28,1,3,59
406,Kirby Yates,LAA,3,3,4.00,54,0,9,10,2,54.2,232,45,26,24,8,25,1,3,65
407,JT Brubaker,SFG,2,3,4.25,47,0,0,6,0,56.0,241,54,29,26,7,21,1,3,48
408,Jason Alexander,HOU,3,3,4.54,23,6,0,1,0,52.0,224,53,28,26,7,18,0,2,40
