#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
148,Jonny DeLuca,TBR,119,416,455,97,62,20,3,12,53,45,29,1,92,5,3,2,15,3,0.233
149,Geraldo Perdomo,ARI,129,445,514,103,75,18,3,7,58,38,48,1,91,6,4,12,14,4,0.232
150,Matt Shaw,CHC,115,430,472,105,72,18,2,13,55,52,32,1,103,5,3,1,15,2,0.244
151,Brandon Marsh,PHI,126,431,491,102,66,20,3,13,61,49,52,2,152,4,3,2,14,4,0.237
152,Wilyer Abreu,BOS,118,409,463,97,55,22,2,18,60,58,47,1,123,4,2,0,9,3,0.238
153,Jorge Polanco,SEA,115,417,472,92,58,17,1,15,49,55,46,2,128,4,4,0,4,1,0.221
154,Willi Castro,MIN,130,480,537,117,80,22,3,12,66,48,40,1,125,12,4,2,18,5,0.244
155,Brayan Rocchio,CLE,139,470,519,108,78,21,2,7,53,43,37,1,100,6,4,2,13,5,0.231
156,Lane Thomas,CLE,129,490,543,118,74,26,3,16,70,57,42,0,134,7,4,0,23,6,0.242
157,Vinnie Pasquantino,KCR,139,531,596,138,85,32,1,19,69,77,53,3,79,6,6,1,1,0,0.260
158,Miguel Amaya,CHC,94,300,336,68,47,12,0,8,32,35,24,0,72,7,2,3,1,0,0.226
159,Heliot Ramos,SFG,135,515,566,131,82,25,2,21,71,69,41,1,151,5,4,1,8,3,0.254
160,Joc Pederson,TEX,110,367,429,88,50,16,1,21,57,57,49,3,99,9,4,1,4,1,0.240
161,Luis Rengifo,LAA,129,489,535,122,86,21,2,13,64,51,35,1,88,6,4,1,19,6,0.249
162,Jake Burger,TEX,141,532,583,128,73,24,2,29,73,81,37,1,156,9,4,1,2,1,0.241
163,Victor Caratini,HOU,63,206,231,48,35,8,0,6,24,24,19,1,48,3,2,1,0,0,0.235
164,Trevor Larnach,MIN,117,414,471,102,63,22,1,17,57,57,49,2,122,5,3,0,3,1,0.247
165,Josh Jung,TEX,122,465,505,112,72,21,2,17,58,59,30,1,138,6,3,0,4,2,0.242
166,Josh Smith,TEX,96,331,378,79,51,16,2,10,45,37,33,1,78,9,3,2,7,2,0.237
167,Ryan McMahon,COL,147,547,622,131,84,27,1,19,70,71,66,3,178,4,4,0,7,2,0.239
168,Nolan Arenado,STL,144,559,612,136,94,25,1,16,61,68,42,1,91,5,6,1,3,1,0.243
169,Ryan Mountcastle,BAL,124,473,517,124,82,23,2,18,61,66,35,1,118,4,5,0,3,1,0.263
170,Matt Wallner,MIN,126,442,507,98,53,21,2,23,63,65,49,3,174,13,3,0,3,1,0.221
171,Dylan Crews,WSN,134,523,574,129,86,25,3,15,69,59,38,0,128,8,3,1,23,6,0.246
172,Jurickson Profar,ATL,142,525,605,130,88,25,2,16,74,63,64,2,99,9,4,3,6,2,0.248
173,Carson Kelly,CHC,81,267,298,60,41,11,0,8,29,34,25,0,62,4,2,0,1,0,0.226
174,Garrett Mitchell,MIL,116,403,455,91,61,17,3,11,55,43,44,1,141,4,2,2,20,4,0.227
175,Andy Pages,LAD,81,292,325,72,42,16,1,13,41,44,24,1,80,5,2,0,3,1,0.245
176,Jake McCarthy,ARI,128,458,508,119,87,20,5,6,66,41,34,1,93,8,3,5,32,5,0.259
177,Jasson Domínguez,NYY,129,470,522,114,75,21,2,15,65,53,45,2,128,3,3,1,19,4,0.242
178,Otto Lopez,MIA,115,428,463,114,83,22,3,7,53,43,26,1,83,4,3,2,16,4,0.267
179,Matt Vierling,DET,116,435,480,110,74,22,3,12,55,50,36,1,97,4,4,1,8,2,0.253
180,Leody Taveras,TEX,96,339,372,82,54,15,2,11,47,37,27,1,83,1,3,2,15,4,0.241
181,Paul Goldschmidt,NYY,142,545,607,133,84,25,1,23,72,73,53,1,154,3,4,1,7,3,0.243
182,Kerry Carpenter,DET,121,435,483,109,63,22,3,20,60,64,38,2,119,7,4,0,4,1,0.250
183,Brice Turang,MIL,139,512,567,125,92,22,4,6,65,45,45,1,106,2,4,3,34,6,0.243
184,Christian Vázquez,MIN,80,271,295,62,45,11,0,5,27,27,15,0,60,2,2,2,3,2,0.228
185,Spencer Steer,CIN,136,500,568,123,75,27,2,19,70,67,54,0,116,8,5,0,13,4,0.245
186,Isiah Kiner-Falefa,PIT,124,453,490,119,92,19,2,6,54,43,23,0,77,7,3,3,16,5,0.262
187,Connor Wong,BOS,105,366,398,87,57,17,2,11,46,42,23,0,107,5,3,2,8,2,0.237
188,Yasmani Grandal,,55,174,200,38,27,7,0,5,20,21,20,0,45,1,1,1,0,0,0.218
189,Yoán Moncada,LAA,110,401,446,95,60,20,1,14,50,50,38,1,121,4,3,1,3,1,0.238
190,Josh Naylor,ARI,140,534,596,138,89,28,1,20,71,80,50,5,91,7,5,1,7,3,0.258
191,Adolis García,TEX,143,548,607,124,72,23,2,27,76,75,48,2,171,6,5,0,12,4,0.226
192,Tyler Fitzgerald,SFG,133,487,532,112,70,22,4,15,65,52,33,0,166,7,3,2,18,4,0.229
193,Michael Massey,KCR,117,426,465,103,64,24,2,14,51,56,27,1,91,5,4,2,5,2,0.243
194,Ke'Bryan Hayes,PIT,125,481,522,121,86,22,2,11,58,53,33,0,100,3,4,1,13,5,0.251
195,Gary Sánchez,BAL,67,219,248,47,27,8,0,11,28,33,22,0,68,4,2,0,0,0,0.213
196,Jake Rogers,DET,93,306,340,64,38,13,1,11,34,38,26,0,104,4,2,1,2,1,0.208
197,Lourdes Gurriel Jr.,ARI,133,517,560,140,96,27,2,16,66,72,32,0,99,5,5,0,6,2,0.271
198,Ryan O'Hearn,BAL,103,359,398,94,60,19,2,13,48,49,32,1,71,3,3,1,3,1,0.261
199,Alex Verdugo,,99,396,438,103,69,21,1,11,48,49,34,1,66,3,4,1,3,1,0.259
200,Jesús Sánchez,MIA,134,480,535,119,75,23,2,19,63,65,46,3,137,5,3,1,9,2,0.247
201,Jose Siri,NYM,103,360,394,76,44,15,2,15,50,43,26,0,143,4,2,1,15,4,0.211
202,Chas McCormick,HOU,109,370,412,86,58,15,1,12,50,42,33,0,110,6,3,1,12,4,0.233
203,Miguel Vargas,CHW,104,356,401,84,52,19,1,12,46,44,37,0,85,4,3,1,8,2,0.236
204,Luis Arraez,SDP,147,594,643,178,143,30,3,1,68,61,37,5,30,5,5,2,7,3,0.299
205,Ramón Urías,BAL,79,269,297,64,44,12,1,8,32,32,21,0,66,4,2,1,1,1,0.240
206,Austin Hedges,CLE,59,170,191,31,22,5,0,3,15,14,11,0,56,2,1,4,2,1,0.183
207,Alek Thomas,ARI,85,285,311,72,48,15,2,6,36,34,21,1,62,2,2,1,7,2,0.251
208,Ernie Clement,TOR,89,311,331,80,56,16,1,7,36,34,12,0,34,2,3,2,7,2,0.256
209,Michael Busch,CHC,134,485,551,111,67,23,2,19,62,69,54,1,154,7,4,0,3,1,0.229
210,Luke Raley,SEA,118,402,454,89,53,16,2,18,54,54,33,1,141,15,3,2,11,2,0.221
211,Kristian Campbell,BOS,70,259,289,67,46,13,1,7,35,31,24,1,67,4,2,1,6,1,0.258
212,Kyle Isbel,KCR,122,410,451,95,63,19,3,10,53,42,30,1,97,5,3,4,14,4,0.231
213,LaMonte Wade Jr.,SFG,108,367,435,85,56,16,1,12,49,44,56,3,89,6,3,3,2,1,0.232
214,Edouard Julien,MIN,81,271,316,62,42,12,1,8,37,30,40,1,99,3,2,0,4,1,0.230
215,Jordan Walker,STL,127,467,512,116,75,25,2,14,59,58,36,1,123,6,3,0,8,2,0.248
216,Luis Campusano,SDP,82,279,302,67,47,12,0,8,29,33,17,0,51,3,2,0,0,0,0.240
217,MJ Melendez,KCR,120,419,473,96,54,23,3,16,57,58,47,2,122,3,4,0,6,2,0.228
218,Jonathan Aranda,TBR,104,355,400,86,53,17,1,15,46,51,36,1,101,6,3,0,0,0,0.241
219,Endy Rodríguez,PIT,94,340,374,84,54,20,2,9,39,42,27,0,75,3,3,0,2,1,0.248
220,Nathaniel Lowe,WSN,141,516,591,129,93,22,2,12,63,61,67,2,128,4,4,1,2,1,0.250
221,Trent Grisham,NYY,61,191,223,40,22,8,1,10,28,25,26,1,62,3,1,2,5,1,0.210
222,Jeff McNeil,NYM,121,442,487,107,75,22,2,8,49,46,32,1,66,9,3,1,3,1,0.242
223,Dillon Dingler,DET,65,222,242,49,31,10,1,6,24,26,15,0,68,4,2,0,1,0,0.222
224,Andrew Benintendi,CHW,113,422,469,106,73,20,2,11,50,48,40,2,77,2,4,1,6,2,0.251
225,José Caballero,TBR,82,278,308,61,40,12,1,7,39,25,20,0,78,7,2,1,22,6,0.219
226,Jordan Lawlar,ARI,59,220,242,55,37,11,2,5,30,25,17,0,61,3,2,0,10,1,0.250
227,Michael Conforto,LAD,116,412,471,96,60,18,1,17,57,59,47,2,108,7,4,0,1,0,0.234
228,Tyler Soderstrom,ATH,135,478,528,109,66,22,1,21,58,63,41,2,145,5,4,0,2,0,0.229
229,Triston Casas,BOS,139,497,575,115,68,23,0,23,67,76,70,4,152,4,3,0,0,0,0.231
230,Josh Rojas,CHW,101,347,392,80,56,15,2,8,43,34,37,1,85,2,3,3,11,3,0.232
231,Chase Meidroth,CHW,60,215,244,53,39,10,1,3,26,20,24,0,42,3,1,0,4,1,0.248
232,Ben Rortvedt,TBR,67,205,230,42,29,8,0,4,20,20,20,0,61,3,1,1,1,0,0.203
233,Giancarlo Stanton,NYY,91,342,382,77,41,12,0,23,47,59,35,2,115,2,2,0,0,0,0.224
234,Hyeseong Kim,LAD,104,389,421,96,69,18,3,5,49,38,26,1,80,2,3,0,17,1,0.246
235,Juan Brito,CLE,73,266,297,63,41,15,1,6,31,30,25,1,54,2,2,1,4,1,0.236
236,Ceddanne Rafaela,BOS,109,408,433,97,65,19,3,10,50,43,16,0,111,5,3,1,16,4,0.237
237,Gavin Lux,CIN,113,394,440,100,66,20,2,11,51,48,41,1,97,2,3,0,7,2,0.253
238,Mitch Garver,SEA,80,273,315,55,32,10,0,12,33,39,35,0,92,4,2,0,1,0,0.202
239,Elias Díaz,SDP,88,304,331,68,48,12,0,8,31,35,20,0,74,2,2,0,0,0,0.224
240,Tyler Freeman,CLE,42,140,156,37,26,8,1,3,19,16,10,0,23,5,1,1,5,1,0.265
241,Tyrone Taylor,NYM,82,271,294,63,38,14,1,9,34,32,16,0,70,5,2,1,7,2,0.231
