Rank,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
191,Denzel Clarke,ATH,98,346,379,77,51,17,2,8,44,32,25,0,129,5,2,1,11,3,.222
192,Ramón Laureano,SDP,127,467,519,114,70,21,3,20,67,63,37,1,137,10,4,1,9,3,.244
193,Jordan Lawlar,ARI,91,309,340,74,49,15,2,7,41,33,25,1,94,4,2,1,13,3,.240
194,Luis Arraez,SFG,139,561,608,165,137,25,3,0,65,52,33,3,21,4,5,5,8,3,.295
195,Christian Walker,HOU,135,509,568,117,68,22,0,27,68,77,47,1,145,7,5,1,4,1,.229
196,Pedro Pagés,STL,90,305,332,66,46,12,0,8,29,34,20,1,88,3,2,1,1,0,.217
197,Jose Trevino,CIN,70,234,253,54,39,9,0,6,23,27,14,0,40,2,2,1,0,0,.232
198,Sal Frelick,MIL,132,494,549,124,92,21,5,6,60,47,43,1,75,5,3,2,17,4,.250
199,Cam Smith,HOU,116,412,459,100,68,20,1,10,52,45,39,1,121,6,3,1,7,2,.242
200,Carter Jensen,KCR,102,342,383,81,50,17,3,11,45,44,36,1,101,2,3,1,5,1,.238
201,Josh Bell,MIN,131,480,544,119,77,21,0,21,64,68,54,1,104,4,4,1,2,1,.247
202,Kyle Manzardo,CLE,126,459,519,107,61,22,1,23,59,72,49,2,122,6,5,0,1,1,.233
203,Brandon Marsh,PHI,121,419,473,104,70,20,3,11,57,47,46,1,132,3,3,2,10,3,.247
204,Jake Burger,TEX,130,491,532,118,68,23,1,26,63,76,29,1,134,7,3,1,2,1,.241
205,Freddy Fermin,SDP,118,399,435,91,67,13,2,9,43,39,26,1,89,3,3,4,3,1,.229
206,Addison Barger,TOR,115,427,470,101,60,23,1,17,56,58,36,2,116,4,3,0,4,1,.237
207,Jorge Polanco,NYM,123,451,507,109,67,22,1,20,61,63,46,1,105,4,4,1,6,2,.242
208,Marcelo Mayer,BOS,108,384,420,94,61,22,1,10,45,47,31,2,100,2,3,1,7,2,.245
209,Parker Meadows,DET,99,356,397,78,50,13,5,9,48,35,35,1,102,3,3,1,11,3,.220
210,José Caballero,NYY,95,318,360,69,47,13,1,8,49,25,31,0,94,7,2,2,33,8,.216
211,Henry Davis,PIT,76,252,282,55,35,11,1,8,31,30,21,1,74,6,2,1,4,1,.218
212,Davis Schneider,TOR,86,284,327,60,34,13,1,13,40,40,37,0,95,4,2,0,3,1,.212
213,Harry Ford,WSN,98,255,288,58,39,12,1,6,30,29,27,0,67,4,2,1,6,1,.229
214,Yoán Moncada,LAA,93,330,373,77,48,16,1,12,40,42,35,1,98,4,3,0,1,0,.234
215,Jordan Walker,STL,125,459,503,109,67,23,1,18,58,60,35,1,139,5,3,0,8,2,.237
216,Connor Norby,MIA,116,412,450,100,65,21,3,12,50,50,30,1,124,4,3,0,8,2,.244
217,Colt Emerson,SEA,72,260,289,62,43,13,1,5,30,29,22,1,60,4,2,0,5,1,.240
218,Cole Young,SEA,96,329,369,78,53,16,1,8,40,36,32,1,63,4,3,1,6,2,.236
219,Mike Yastrzemski,ATL,115,402,462,92,54,20,1,16,55,54,50,2,106,4,3,2,4,1,.228
220,Garrett Mitchell,MIL,94,322,361,71,48,13,2,8,41,32,33,1,113,3,2,2,13,3,.220
221,Jorge Soler,LAA,116,415,475,94,52,19,0,22,55,63,50,0,128,5,3,0,1,0,.226
222,Isaac Collins,KCR,108,358,411,86,58,17,3,8,51,38,43,1,83,5,3,2,13,4,.241
223,Carson Williams,TBR,96,341,375,74,46,15,2,12,42,41,27,1,130,4,2,1,9,3,.217
224,Casey Schmitt,SFG,72,256,281,61,39,12,1,10,32,33,19,1,66,3,2,1,2,1,.240
225,Gabriel Arias,CLE,114,415,451,93,63,18,1,12,48,45,27,1,139,5,2,1,9,3,.225
226,Andrew Benintendi,CHW,120,443,495,109,71,20,2,18,55,59,43,2,84,3,5,1,3,1,.247
227,Jordan Beck,COL,131,493,542,125,79,26,3,17,69,64,41,0,153,4,4,0,16,5,.254
228,Miguel Amaya,CHC,79,263,293,59,40,11,0,7,28,30,20,1,65,5,2,3,1,0,.223
229,Romy Gonzalez,BOS,61,219,237,58,39,11,1,8,30,29,14,0,59,2,2,1,7,2,.266
230,Brooks Lee,MIN,135,502,545,119,83,23,1,12,54,55,34,1,97,3,5,1,4,1,.237
231,Daylen Lile,WSN,132,501,546,133,90,30,5,8,61,55,34,1,98,6,4,1,15,3,.265
232,Austin Martin,MIN,85,290,331,75,55,15,1,4,40,26,32,0,56,6,2,2,12,4,.259
233,Nolan Schanuel,LAA,141,516,599,131,98,22,2,8,65,51,66,3,81,9,5,3,6,2,.254
234,Zach McKinstry,DET,103,357,398,83,55,16,4,8,48,34,33,1,88,4,3,1,14,4,.233
235,Tyler Freeman,COL,78,280,316,81,58,15,2,6,43,32,23,0,41,9,2,2,13,4,.289
236,Wenceel Pérez,DET,115,423,469,98,63,19,4,12,56,46,37,1,99,3,4,1,12,3,.233
237,Travis d'Arnaud,LAA,60,199,221,44,28,9,0,8,22,26,14,0,63,3,1,0,1,0,.224
238,Luis Torrens,NYM,62,205,224,49,34,8,1,5,23,23,14,0,51,2,2,1,1,0,.237
239,Luisangel Acuña,CHW,96,319,343,79,59,14,2,4,38,25,18,0,65,2,2,2,16,4,.246
240,Austin Hedges,CLE,42,124,142,23,16,4,0,4,12,11,10,0,38,2,1,3,2,1,.187
241,Brayan Rocchio,CLE,121,424,468,98,69,20,2,7,49,40,33,1,90,6,4,2,12,4,.230
242,Marcell Ozuna,PIT,123,449,517,108,68,20,0,19,60,67,61,1,126,3,4,1,0,0,.239
243,Joc Pederson,TEX,101,343,399,78,46,15,0,17,48,51,44,2,90,7,3,1,3,1,.228
244,Trevor Larnach,MIN,106,388,440,96,64,19,1,12,51,48,44,1,99,4,4,0,4,1,.247
245,Ke'Bryan Hayes,CIN,127,465,505,112,83,19,2,8,52,46,32,1,98,3,3,1,10,4,.241
246,Edmundo Sosa,PHI,66,226,246,56,37,10,1,8,28,28,10,0,57,5,2,2,3,1,.248
247,Dalton Rushing,LAD,56,178,200,40,24,9,1,7,24,24,18,1,57,3,1,0,1,0,.222
248,Mauricio Dubón,ATL,108,381,408,96,72,15,3,6,42,38,19,0,52,2,3,2,3,1,.251
249,Luis Campusano,SDP,72,237,261,54,38,9,0,6,25,27,20,0,53,2,2,0,0,0,.228
250,Brett Baty,NYM,112,401,443,94,62,17,0,15,49,50,35,1,113,3,2,1,4,1,.235
251,Lourdes Gurriel Jr.,ARI,80,310,337,82,56,16,1,10,40,42,20,0,53,3,3,0,4,2,.266
252,Nasim Nuñez,WSN,95,309,346,71,54,11,1,4,38,21,29,0,82,2,2,4,23,4,.229
253,Jasson Domínguez,NYY,61,213,238,51,32,10,1,8,31,25,22,1,61,2,1,0,10,2,.239
254,Kyle Karros,COL,65,232,257,62,44,13,1,5,28,28,20,1,60,3,2,0,2,1,.266
255,Ramón Urías,STL,73,257,283,62,42,12,1,8,30,31,20,0,62,3,2,0,2,1,.239
256,Connor Wong,BOS,60,201,221,46,32,9,1,5,23,22,14,0,55,3,1,1,4,1,.230
257,Jake McCarthy,COL,93,332,367,88,64,14,4,5,47,31,23,0,63,6,2,4,17,3,.265
258,Carson Benge,NYM,93,335,371,80,53,17,1,9,41,38,30,2,80,4,2,1,7,1,.239
259,Kody Clemens,MIN,74,260,287,60,35,12,1,12,34,37,21,0,71,2,3,1,3,1,.232
260,Samuel Basallo,BAL,108,386,423,91,57,18,1,15,47,51,31,2,101,3,3,1,3,1,.236
261,Blaze Alexander,BAL,83,290,325,64,43,11,2,8,38,28,26,0,105,6,2,2,7,2,.220
262,Chandler Simpson,TBR,109,415,448,119,100,15,4,0,57,29,23,1,45,1,3,5,37,6,.286
263,Javier Sanoja,MIA,61,207,223,56,40,11,2,3,25,22,12,1,21,1,2,1,7,2,.270
264,Brooks Baldwin,CHW,99,347,379,82,52,15,2,12,43,40,24,1,92,2,3,3,7,2,.235
265,Gary Sánchez,MIL,44,148,166,31,19,5,0,7,17,24,13,0,46,3,1,0,0,0,.212
