#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
394,Whit Merrifield,,42,158,174,39,28,7,1,3,18,16,13,0,30,1,1,1,7,2,0.246
395,Ben Gamel,HOU,36,125,144,29,19,6,1,3,16,15,17,0,38,1,1,0,1,0,0.233
396,Noelvi Marte,CIN,36,129,141,31,21,6,0,4,15,15,9,0,35,1,1,0,4,1,0.240
397,Chase DeLauter,CLE,16,59,66,16,10,3,0,2,8,8,5,0,12,1,0,0,1,0,0.261
398,Jerar Encarnacion,SFG,84,294,329,69,43,12,1,13,37,40,29,0,109,2,2,1,2,1,0.233
399,Brett Baty,NYM,18,64,72,15,10,3,0,2,8,8,6,0,18,1,1,0,0,0,0.238
400,David Hamilton,BOS,18,64,72,15,10,3,0,2,9,7,7,0,18,1,1,0,5,1,0.230
401,Sam Hilliard,COL,52,183,205,43,26,8,1,8,24,24,19,0,63,1,1,1,6,1,0.237
402,Tirso Ornelas,SDP,71,261,289,63,42,13,1,8,32,31,23,1,60,2,2,1,3,1,0.242
403,Brandon Drury,CHW,58,223,244,52,33,10,1,8,25,28,16,0,57,3,2,0,1,0,0.234
404,Leo Rivas,SEA,16,55,64,12,9,2,0,1,6,5,8,0,17,1,0,0,3,1,0.212
405,Christian Bethancourt,TOR,18,65,70,15,10,3,0,2,7,8,3,0,18,0,1,0,1,0,0.231
406,Emmanuel Rodriguez,MIN,15,49,59,10,6,2,0,2,7,6,9,0,20,1,0,0,1,0,0.212
407,Will Benson,CIN,45,150,175,31,18,7,1,6,22,19,22,0,58,2,1,1,8,2,0.210
408,Andruw Monasterio,MIL,24,87,98,21,15,4,0,1,10,9,10,0,23,1,1,0,3,1,0.237
409,Stuart Fairchild,CIN,52,188,211,42,27,9,1,6,24,23,17,0,59,4,1,1,7,2,0.226
410,Spencer Torkelson,DET,47,177,201,39,22,9,0,7,22,23,20,0,54,2,1,0,1,0,0.221
411,Daniel Schneemann,CLE,26,93,105,20,13,4,0,2,11,10,11,0,29,1,1,0,2,0,0.219
412,Romy Gonzalez,BOS,19,74,80,19,12,3,1,2,9,9,5,0,23,1,1,0,3,1,0.250
413,Eric Wagaman,MIA,34,129,141,32,21,7,1,4,15,16,9,0,29,1,1,0,2,1,0.249
414,Luke Keaschall,MIN,13,46,53,11,8,2,0,1,6,5,5,0,11,1,0,0,1,0,0.246
415,Leo Jiménez,TOR,11,39,45,9,6,2,0,1,5,4,4,0,10,1,0,0,0,0,0.236
416,Joshua Palacios,PIT,26,97,107,25,17,5,0,3,12,12,8,0,23,1,1,0,2,1,0.254
417,Matt Thaiss,CHW,26,89,103,19,13,3,0,3,10,10,12,0,28,1,1,0,1,0,0.215
418,Michael A. Taylor,CHW,39,138,151,29,20,5,0,4,15,15,10,0,49,1,1,1,4,1,0.211
419,Chadwick Tromp,ATL,12,43,47,10,6,2,0,1,5,5,4,0,12,0,0,0,0,0,0.225
420,Vidal Bruján,CHC,26,91,103,21,14,4,1,2,11,10,9,1,21,1,1,0,4,1,0.230
421,Eric Haase,MIL,30,110,120,24,15,4,0,4,12,14,8,0,39,1,1,0,1,0,0.215
422,Blake Sabol,BOS,14,49,55,11,7,2,0,1,6,6,5,0,16,1,0,0,1,0,0.234
423,Nathan Lukes,TOR,15,56,62,15,10,3,0,1,7,6,5,0,12,1,0,0,1,0,0.266
